top - 11:07:30 up 13 min,  1 user,  load average: 2,37, 1,96, 1,21
Tasks: 247 total,   2 running, 245 sleeping,   0 stopped,   0 zombie
%Cpu(s): 19,0 us,  6,0 sy,  0,0 ni, 72,0 id,  3,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   3767,6 total,    162,8 free,   1661,8 used,   1943,0 buff/cache
МиБ Swap:   2048,0 total,   2047,7 free,      0,2 used.   1635,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2851 moira     20   0 2614536 300048 122860 R  44,4   7,8   4:54.46 Web Content
   4082 moira     20   0   23212   4288   3576 R  11,1   0,1   0:00.06 top
    510 root      20   0       0      0      0 I   5,6   0,0   0:02.25 kworker/3:3-events
   1517 moira     20   0 3888732 233408  86076 S   5,6   6,1   0:58.56 gnome-shell
   2700 moira     20   0 2947988 337076 165896 S   5,6   8,7   4:17.56 firefox
   2960 moira     20   0 2441104 115460  89960 S   5,6   3,0   0:16.22 WebExtensions
   3906 moira     20   0   50,6g 267192 138520 S   5,6   6,9   0:39.24 code
      1 root      20   0  167764  11612   8400 S   0,0   0,3   0:04.74 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.02 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.36 ksoftirqd/0
     11 root      20   0       0      0      0 I   0,0   0,0   0:02.30 rcu_sched
     12 root      rt   0       0      0      0 S   0,0   0,0   0:00.11 migration/0
     13 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     17 root      rt   0       0      0      0 S   0,0   0,0   0:00.29 migration/1
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.26 ksoftirqd/1
     20 root       0 -20       0      0      0 I   0,0   0,0   0:00.74 kworker/1:0H-events_highpri
     21 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     22 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     23 root      rt   0       0      0      0 S   0,0   0,0   0:00.30 migration/2
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.23 ksoftirqd/2
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     28 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     29 root      rt   0       0      0      0 S   0,0   0,0   0:00.30 migration/3
     30 root      20   0       0      0      0 S   0,0   0,0   0:00.54 ksoftirqd/3
     33 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kdevtmpfs
     34 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     35 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_kthre
     36 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     41 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker/1:1-events
     42 root      20   0       0      0      0 S   0,0   0,0   0:00.00 khungtaskd
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_reaper
     44 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeback
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kcompactd0
     46 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     47 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepaged
     93 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegrityd
     94 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
     95 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_punt_bio
     96 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 tpm_dev_wq
     97 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
     98 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 md
